01;5.6;5.5;7;35
02;4.0;3.2;7;30
03;8.0;9.0;3;150
04;3.5;7.8;8;60
05;2.1;0.0;19;14
06;6.7;7.5;0;179
07;7.8;9.0;8;100
08;8.7;7.5;7;134
09;3.2;5.6;6;40
10;7.5;7.5;5;60
11;9.0;9.0;3;100
12;7.8;7.5;0;120
13;9.5;8.7;0;133
14;10.0;9.7;0;146
15;6.7;7.8;0;90
16;8.0;7.6;0;80
17;6.5;6.8;0;60
18;8.0;7.6;6;80
19;4.5;5.5;8;50
20;6.7;8.0;8;60
21;3.5;4.5;8;40
22;5.6;6.6;7;45
23;6.8;8.0;4;90
24;9.0;9.0;2;160
25;6.0;6.5;2;78
26;7.0;8.0;0;200
27;9.0;8.6;0;197
28;3.5;4.0;15;25
29;6.0;0.0;28;20
30;5.5;4.0;8;78
